price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
660000000,2,1,78,36,0,1300,1,2021,1,0,0,1,0,0,0,0,0,0
750000000,1,1,72,43,1,1300,1,2018,0,0,0,1,0,0,0,0,0,0
1680000000,3,2,152,88,1,2200,1,2018,0,0,0,1,0,0,0,0,0,0
1200000000,3,3,120,100,0,2200,2,2018,1,0,0,1,0,0,0,0,0,0
4000000000,2,2,158,145,2,3300,2,2015,0,0,0,1,0,0,0,0,0,0
1050000000,5,2,83,154,1,2200,2,2018,0,0,0,1,0,0,0,0,0,0
980000000,3,2,80,70,1,2200,2,2022,0,0,0,1,0,0,0,0,0,0
1170000000,2,1,93,88,2,1300,1,2022,0,0,0,1,0,0,0,0,0,0
1020000000,2,2,84,40,1,2200,1,2018,0,0,0,1,0,0,0,0,0,0
1980000000,3,2,95,105,0,2200,2,2018,1,0,0,1,0,0,0,0,0,0
1500000000,3,3,164,104,0,1300,2,2018,1,0,0,1,0,0,0,0,0,0
780000000,2,1,72,42,1,1300,1,2018,1,0,0,1,0,0,0,0,0,0
3500000000,3,3,234,150,2,3500,1,2018,2,0,0,1,0,0,0,0,0,0
615000000,3,2,60,60,0,3160,2,2022,1,0,0,1,0,0,0,0,0,0
2040000000,3,3,150,115,1,2200,1,2018,0,0,0,1,0,0,0,0,0,0
1950000000,2,2,158,90,0,2200,1,2014,0,0,0,1,0,0,0,0,0,0
1200000000,2,3,98,78,0,2200,2,2018,1,0,0,1,0,0,0,0,0,0
3950000000,3,3,300,250,1,4400,2,2018,0,0,0,1,0,0,0,0,0,0
965000000,3,2,70,115,1,2200,2,2022,0,0,0,1,0,0,0,0,0,0
